"questionId","correctAnswer","difficulty","options","question","skillId"
"skill002_q04","C","easy","[{""S"":""A. HTML, CSS""},{""S"":""B. Photoshop, Illustrator""},{""S"":""C. Python, Java, Node.js""},{""S"":""D. Microsoft Word, Excel""}]","ข้อใดเป็นภาษาโปรแกรมสำหรับพัฒนา Backend?","skill002"
"skill002_q09","A","medium","[{""S"":""A. Application Programming Interface""},{""S"":""B. Automatic Program Installation""},{""S"":""C. Advanced Programming Intelligence""},{""S"":""D. Application Process Integration""}]","API ย่อมาจากอะไร?","skill002"
"skill002_q05","B","easy","[{""S"":""A. การเขียนโปรแกรมใหม่""},{""S"":""B. การหาและแก้ไขข้อผิดพลาดในโค้ด""},{""S"":""C. การลบโปรแกรม""},{""S"":""D. การเปลี่ยนชื่อไฟล์""}]","การ Debug คืออะไร?","skill002"
"skill002_q03","B","easy","[{""S"":""A. ภาษาโปรแกรมชนิดหนึ่ง""},{""S"":""B. ขั้นตอนการแก้ปัญหาอย่างเป็นระบบ""},{""S"":""C. โปรแกรมสำเร็จรูป""},{""S"":""D. ระบบปฏิบัติการ""}]","Algorithm คืออะไร?","skill002"
"skill003_q01","A","easy","[{""S"":""A. apt""},{""S"":""B. npm""},{""S"":""C. pip""},{""S"":""D. docker""}]","เครื่องมือใดที่ใช้สำหรับการติดตั้งและจัดการแพ็กเกจในระบบ Linux?","skill003"
"skill003_q04","A","easy","[{""S"":""A. ปรับตัวได้รวดเร็วและมีประสิทธิภาพ""},{""S"":""B. เกิดความสับสน""},{""S"":""C. ทำงานช้าลง""},{""S"":""D. ลดประสิทธิภาพการทำงาน""}]","การประยุกต์ใช้ความรู้พื้นฐานในการเรียนรู้เครื่องมือใหม่ช่วยให้เกิดอะไร?","skill003"
"skill002_q08","B","medium","[{""S"":""A. แก้ไขรูปภาพ""},{""S"":""B. จัดการเวอร์ชันของโค้ด""},{""S"":""C. เล่นเกม""},{""S"":""D. สร้างเว็บไซต์""}]","Version Control System เช่น Git ใช้เพื่ออะไร?","skill002"
"skill002_q02","A","medium","[{""S"":""A. Encapsulation, Inheritance, Polymorphism, Abstraction""},{""S"":""B. HTML, CSS, JavaScript, PHP""},{""S"":""C. Input, Process, Output, Storage""},{""S"":""D. Create, Read, Update, Delete""}]","ข้อใดคือหลักการหลักของ OOP?","skill002"
"skill003_q02","A","medium","[{""S"":""A. ศึกษาคู่มือการใช้งานและทดลองใช้งาน""},{""S"":""B. ข้ามขั้นตอนทดลองใช้งาน""},{""S"":""C. รอให้ผู้อื่นทำก่อนแล้วค่อยเรียนรู้""},{""S"":""D. ปฏิเสธการเปลี่ยนแปลง""}]","ขั้นตอนใดสำคัญที่สุดเมื่อเริ่มใช้เทคโนโลยีใหม่ในงานประยุกต์?","skill003"
"skill002_q07","B","easy","[{""S"":""A. โปรแกรมเกม""},{""S"":""B. ระบบจัดเก็บและจัดการข้อมูล""},{""S"":""C. เว็บไซต์""},{""S"":""D. แอปพลิเคชันมือถือ""}]","Database คืออะไร?","skill002"
"skill002_q01","A","easy","[{""S"":""A. Object-Oriented Programming""},{""S"":""B. Online-Offline Program""},{""S"":""C. Original Operating Program""},{""S"":""D. Open Office Platform""}]","Object-Oriented Programming (OOP) ย่อมาจากอะไร?","skill002"
"skill002_q10","B","medium","[{""S"":""A. เขียนยาก อ่านยาก""},{""S"":""B. สั้น กระชับ อ่านง่าย""},{""S"":""C. ไม่มี Comment""},{""S"":""D. ซับซ้อนที่สุด""}]","ข้อใดคือลักษณะของโค้ดที่ดี?","skill002"
"skill003_q03","B","medium","[{""S"":""A. React""},{""S"":""B. AWS Lambda""},{""S"":""C. MySQL""},{""S"":""D. HTML""}]","เทคโนโลยีใดที่เหมาะสำหรับการพัฒนาแอปพลิเคชันบนคลาวด์?","skill003"
"skill002_q06","B","medium","[{""S"":""A. ทำให้โค้ดยาวขึ้น""},{""S"":""B. ลดการเขียนโค้ดซ้ำ (Code Reusability)""},{""S"":""C. ทำให้โปรแกรมช้าลง""},{""S"":""D. เพิ่มความซับซ้อน""}]","ประโยชน์ของการใช้ Function คืออะไร?","skill002"
"skill003_q05","A","medium","[{""S"":""A. ตรวจสอบแหล่งที่มาของซอฟต์แวร์""},{""S"":""B. ติดตั้งจากแหล่งไม่รู้จัก""},{""S"":""C. ข้ามขั้นตอนการตรวจสอบ""},{""S"":""D. ใช้ซอฟต์แวร์ละเมิดลิขสิทธิ์""}]","เทคนิคใดช่วยให้การติดตั้งซอฟต์แวร์ทำได้อย่างปลอดภัย?","skill003"
